Company,TypeName,Ram,OpSys,Weight,CPU_name,TouchScreen,IPS,PPI,SSD,HDD,SSD_HDD,GPU_brand
Asus,Netbook,2,Windows,0.98,Other Intel Processor,0,0,135.0942111925629,0,0,0,Intel
Lenovo,Gaming,8,Windows,2.5,Intel Core i5,0,1,141.21199808219862,128,128,1128,Nvidia
HP,Notebook,4,Others,1.86,AMD Processor,0,0,100.45466986113651,0,500,0,AMD
Dell,2 in 1 Convertible,8,Windows,1.62,Intel Core i5,1,0,165.6321180513006,256,0,0,Intel
HP,Ultrabook,8,Windows,1.91,Intel Core i7,0,0,141.21199808219862,256,0,0,Intel
Dell,Notebook,4,Windows,2.3,Intel Core i3,0,0,100.45466986113651,0,1000,0,Intel
Apple,Ultrabook,8,Mac,1.35,Intel Core i5,0,0,127.67794013309688,0,0,0,Intel
Dell,Notebook,8,Windows,2.2,Intel Core i5,0,0,141.21199808219862,256,0,0,AMD
Dell,Ultrabook,8,Windows,1.88,Intel Core i7,0,0,141.21199808219862,512,0,0,Intel
HP,Notebook,8,Windows,2.5,Intel Core i5,0,0,127.33567457123111,0,1000,0,Nvidia
Chuwi,Notebook,4,Windows,1.89,Other Intel Processor,0,0,141.21199808219862,0,0,0,Intel
Asus,Notebook,2,Windows,1.65,AMD Processor,0,0,111.93520355955211,0,0,0,AMD
HP,Notebook,4,Windows,2.71,AMD Processor,0,0,127.33567457123111,0,500,0,AMD
Dell,Ultrabook,16,Windows,1.2,Intel Core i7,1,0,276.053530085501,512,0,0,Intel
Apple,Ultrabook,8,Mac,1.35,Intel Core i5,0,0,127.67794013309688,0,0,0,Intel
Lenovo,Notebook,4,Windows,1.44,Other Intel Processor,0,0,111.93520355955211,0,0,0,Intel
Acer,Notebook,4,Others,2.1,Intel Core i3,0,0,100.45466986113651,0,1000,0,Intel
Dell,Notebook,8,Windows,2.8,Intel Core i5,0,1,127.33567457123111,128,128,1128,AMD
HP,Notebook,4,Windows,1.86,Intel Core i5,0,0,100.45466986113651,0,1000,0,Intel
HP,Notebook,8,Windows,2.1,Intel Core i5,0,0,141.21199808219862,256,0,0,Nvidia
Asus,Notebook,4,Others,2.0,Intel Core i3,0,0,141.21199808219862,0,1000,0,Intel
Dell,Gaming,16,Windows,2.65,Intel Core i7,0,1,141.21199808219862,256,256,1256,Nvidia
Asus,Notebook,8,Others,2.3,Intel Core i5,0,0,100.45466986113651,0,1000,0,Nvidia
Acer,Notebook,4,Windows,2.2,Intel Core i5,0,1,141.21199808219862,256,0,0,Intel
Dell,2 in 1 Convertible,12,Windows,2.77,Intel Core i5,1,0,127.33567457123111,0,1000,0,Nvidia
Apple,Ultrabook,8,Mac,1.37,Intel Core i5,0,1,226.98300468106115,256,0,0,Intel
Lenovo,Notebook,4,Others,2.2,Intel Core i3,0,0,100.45466986113651,128,0,0,Intel
Asus,Gaming,8,Windows,3.2,AMD Processor,0,0,127.33567457123111,256,256,1256,AMD
Dell,Notebook,4,Windows,2.3,Intel Core i5,0,0,141.21199808219862,256,0,0,AMD
Asus,Notebook,4,Windows,2.8,Other Intel Processor,0,0,90.58340172449303,0,1000,0,Nvidia
Lenovo,2 in 1 Convertible,4,Others,0.69,Other Intel Processor,1,1,224.17380907857276,0,0,0,Intel
Acer,Notebook,8,Windows,2.2,Intel Core i7,0,1,141.21199808219862,256,0,0,Nvidia
HP,Notebook,4,Windows,1.86,AMD Processor,0,0,141.21199808219862,256,0,0,AMD
HP,Notebook,8,Windows,1.49,Intel Core i7,0,0,165.6321180513006,512,0,0,Intel
Acer,Notebook,4,Windows,2.4,Intel Core i3,0,0,100.45466986113651,0,1000,0,Intel
Dell,Notebook,8,Windows,2.13,Intel Core i7,0,0,141.21199808219862,256,0,0,AMD
HP,Notebook,4,Windows,1.91,Intel Core i3,0,0,141.21199808219862,128,0,0,Intel
Asus,Notebook,4,Windows,2.0,Intel Core i5,0,0,100.45466986113651,256,0,0,Intel
MSI,Gaming,16,Windows,2.43,Intel Core i7,0,0,127.33567457123111,256,256,2256,Nvidia
Asus,Notebook,4,Others,2.0,Intel Core i3,0,0,141.21199808219862,256,0,0,Intel
Dell,Notebook,16,Windows,2.8,Intel Core i7,0,0,127.33567457123111,256,256,2256,AMD
Dell,Ultrabook,8,Windows,1.7,Intel Core i5,0,0,157.3505121487356,256,0,0,Intel
Lenovo,Notebook,8,Others,1.7,Intel Core i3,0,1,157.3505121487356,256,0,0,Intel
Asus,Notebook,8,Windows,1.4,Intel Core i5,0,0,157.3505121487356,256,0,0,Intel
HP,Notebook,8,Windows,1.86,Intel Core i5,0,0,141.21199808219862,256,0,0,Intel
Asus,Ultrabook,16,Windows,1.8,Intel Core i7,0,0,141.21199808219862,512,0,0,Nvidia
HP,Notebook,4,Windows,1.86,Intel Core i3,0,0,100.45466986113651,0,500,0,AMD
HP,Notebook,4,Windows,1.44,Other Intel Processor,0,0,111.93520355955211,32,0,0,Intel
Lenovo,Notebook,4,Windows,1.9,Intel Core i5,0,0,141.21199808219862,0,1000,0,Intel
Asus,Gaming,12,Others,3.0,Intel Core i7,0,0,127.33567457123111,0,1000,0,Nvidia
Microsoft,Ultrabook,4,Windows,1.252,Intel Core i5,1,0,200.84255993695703,128,0,0,Intel
Dell,Ultrabook,8,Windows,1.4,Intel Core i7,0,1,165.6321180513006,256,0,0,AMD
Dell,Notebook,8,Windows,2.2,Intel Core i7,0,0,141.21199808219862,256,0,0,AMD
MSI,Gaming,8,Windows,2.7,Intel Core i5,0,0,127.33567457123111,128,128,1128,Nvidia
Acer,Notebook,8,Windows,2.1,Intel Core i3,0,0,111.93520355955211,0,1000,0,Intel
Asus,Gaming,8,Windows,2.2,Intel Core i7,0,0,141.21199808219862,0,1000,0,Nvidia
Lenovo,Notebook,8,Others,2.2,Intel Core i5,0,0,141.21199808219862,0,2000,0,Intel
Dell,Notebook,8,Windows,2.02,Intel Core i7,0,0,141.21199808219862,128,128,1128,Intel
Acer,Notebook,4,Windows,2.2,Intel Core i3,0,0,141.21199808219862,0,1000,0,Nvidia
HP,Notebook,8,Windows,2.5,Intel Core i5,0,0,127.33567457123111,128,128,1128,Nvidia
Dell,Ultrabook,8,Windows,1.88,Intel Core i5,0,1,141.21199808219862,256,0,0,Intel
Apple,Ultrabook,8,Mac,0.92,Intel Core i5,0,1,226.41554716935852,512,0,0,Intel
HP,Notebook,8,Windows,1.63,Intel Core i5,0,0,157.3505121487356,256,0,0,Intel
Lenovo,Notebook,4,Windows,2.2,AMD Processor,0,0,141.21199808219862,128,0,0,AMD
Acer,Notebook,4,Windows,2.1,AMD Processor,0,0,100.45466986113651,0,1000,0,AMD
Dell,Gaming,16,Windows,2.65,Intel Core i7,0,1,141.21199808219862,128,128,1128,Nvidia
HP,Ultrabook,8,Windows,1.83,Intel Core i7,0,1,141.21199808219862,256,0,0,Nvidia
HP,Notebook,8,Windows,1.96,Intel Core i5,0,0,141.21199808219862,256,0,0,Intel
Asus,Gaming,16,Windows,2.2,Intel Core i7,0,1,141.21199808219862,128,128,1128,Nvidia
Dell,Ultrabook,8,Windows,1.21,Intel Core i7,0,1,165.6321180513006,256,0,0,Intel
Asus,Gaming,8,Windows,2.45,AMD Processor,0,0,141.21199808219862,0,1000,0,AMD
Acer,Notebook,8,Windows,2.2,Intel Core i7,0,0,141.21199808219862,0,1000,0,Nvidia
HP,Notebook,16,Windows,1.49,Intel Core i7,0,0,165.6321180513006,512,0,0,Intel
Dell,Gaming,8,Windows,2.65,Intel Core i5,0,0,141.21199808219862,256,0,0,Nvidia
Asus,Ultrabook,8,Windows,1.25,Intel Core i7,0,0,157.3505121487356,256,0,0,Intel
Acer,2 in 1 Convertible,8,Windows,1.5,Intel Core i5,1,1,165.6321180513006,256,0,0,Intel
Dell,Notebook,8,Others,2.2,Intel Core i7,0,0,141.21199808219862,0,1000,0,AMD
Dell,Notebook,4,Others,2.2,Intel Core i3,0,0,141.21199808219862,256,0,0,AMD
Asus,Notebook,6,Windows,2.0,Intel Core i3,0,0,141.21199808219862,256,0,0,Nvidia
HP,Gaming,12,Windows,2.62,Intel Core i7,0,1,141.21199808219862,128,128,1128,Nvidia
HP,Notebook,8,Windows,1.91,Intel Core i7,0,0,141.21199808219862,256,0,0,AMD
HP,Notebook,4,Windows,2.1,AMD Processor,0,0,141.21199808219862,0,500,0,AMD
Dell,Notebook,8,Others,2.2,Intel Core i5,0,0,141.21199808219862,0,1000,0,AMD
HP,Ultrabook,8,Windows,1.38,Intel Core i7,0,1,165.6321180513006,256,0,0,Nvidia
Microsoft,Ultrabook,8,Windows,1.252,Intel Core i5,1,0,200.84255993695703,256,0,0,Intel
HP,Notebook,6,Windows,1.58,Intel Core i5,0,1,157.3505121487356,256,0,0,Nvidia
Lenovo,Notebook,4,Windows,1.85,Intel Core i3,0,0,141.21199808219862,0,1000,0,Intel
Asus,Ultrabook,8,Windows,1.3,Intel Core i7,0,1,157.3505121487356,256,0,0,Nvidia
MSI,Gaming,16,Windows,2.2,Intel Core i7,0,0,141.21199808219862,256,256,1256,Nvidia
Lenovo,Notebook,8,Windows,1.58,Intel Core i7,0,1,157.3505121487356,256,0,0,Intel
Asus,Ultrabook,16,Windows,1.5,Intel Core i7,0,0,141.21199808219862,256,256,1256,Nvidia
Dell,Ultrabook,8,Windows,1.23,Intel Core i7,1,0,276.053530085501,256,0,0,Intel
Lenovo,2 in 1 Convertible,8,Windows,1.37,Intel Core i5,1,1,165.6321180513006,256,0,0,Intel
HP,Notebook,4,Windows,1.63,Intel Core i5,0,1,111.93520355955211,0,500,0,Intel
Dell,Ultrabook,8,Windows,1.21,Intel Core i5,0,1,165.6321180513006,256,0,0,Intel
HP,2 in 1 Convertible,8,Windows,1.26,Intel Core i5,1,1,165.6321180513006,256,0,0,Intel
HP,Notebook,8,Windows,1.63,Intel Core i7,0,0,157.3505121487356,512,0,0,Intel
Dell,Notebook,8,Windows,2.16,Intel Core i7,0,1,141.21199808219862,256,256,1256,Nvidia
Asus,Notebook,4,Windows,2.0,Intel Core i3,0,0,127.33567457123111,0,1000,0,Nvidia
Asus,Notebook,8,Windows,1.7,Intel Core i7,0,0,141.21199808219862,256,0,0,Nvidia
Acer,Notebook,6,Windows,2.1,Intel Core i3,1,1,141.21199808219862,0,1000,0,Intel
MSI,Gaming,16,Windows,1.8,Intel Core i7,0,0,141.21199808219862,256,256,2256,Nvidia
Lenovo,Notebook,8,Others,2.2,Intel Core i5,0,0,141.21199808219862,256,0,0,Nvidia
HP,Notebook,16,Windows,2.5,Intel Core i7,0,0,127.33567457123111,512,0,0,Nvidia
Acer,Notebook,4,Windows,2.1,AMD Processor,0,0,100.45466986113651,256,0,0,AMD
HP,Notebook,4,Others,1.86,Other Intel Processor,0,0,100.45466986113651,0,500,0,Intel
HP,Notebook,8,Windows,1.63,Intel Core i5,0,0,157.3505121487356,0,1000,0,Intel
Asus,Notebook,4,Windows,1.65,AMD Processor,0,0,111.93520355955211,64,0,0,AMD
Dell,Notebook,16,Windows,2.8,Intel Core i7,0,0,127.33567457123111,256,256,2256,AMD
HP,Notebook,8,Windows,2.5,Intel Core i5,0,0,127.33567457123111,256,0,0,Intel
Dell,Notebook,8,Windows,2.36,Intel Core i5,0,0,100.45466986113651,0,1000,0,AMD
Dell,Notebook,4,Windows,2.2,Intel Core i3,0,0,141.21199808219862,0,1000,0,AMD
Acer,Ultrabook,8,Windows,1.6,Intel Core i7,0,1,157.3505121487356,256,0,0,Intel
Acer,Notebook,4,Windows,2.2,Intel Core i3,0,0,141.21199808219862,256,0,0,Nvidia
HP,Notebook,8,Windows,2.05,Intel Core i7,0,0,100.45466986113651,0,1000,0,Intel
HP,Notebook,8,Windows,1.63,Intel Core i7,0,0,157.3505121487356,256,0,0,Intel
Lenovo,Notebook,4,Others,1.9,Other Intel Processor,0,0,100.45466986113651,0,1000,0,Intel
Asus,Gaming,8,Windows,3.0,Intel Core i5,0,0,127.33567457123111,128,128,1128,Nvidia
Lenovo,Notebook,4,Others,2.2,Intel Core i5,0,0,141.21199808219862,0,1000,0,Nvidia
HP,Notebook,4,Windows,1.32,Intel Core i5,0,1,165.6321180513006,256,0,0,Intel
Acer,Notebook,4,Windows,3.0,Intel Core i3,0,1,127.33567457123111,0,1000,0,Nvidia
Lenovo,Notebook,8,Windows,1.75,Intel Core i5,0,1,157.3505121487356,256,0,0,AMD
Lenovo,Gaming,8,Others,2.4,Intel Core i7,0,1,141.21199808219862,256,0,0,Nvidia
Toshiba,Notebook,4,Windows,2.1,Intel Core i5,0,0,100.45466986113651,0,500,0,Intel
HP,Notebook,4,Windows,1.86,AMD Processor,0,0,100.45466986113651,256,0,0,AMD
Asus,Ultrabook,8,Windows,1.25,Intel Core i7,0,0,157.3505121487356,256,0,0,Intel
HP,Ultrabook,8,Windows,0.97,Other Intel Processor,1,1,352.4651472131677,512,0,0,Intel
Asus,Notebook,4,Windows,2.0,Other Intel Processor,0,0,141.21199808219862,0,1000,0,Intel
MSI,Gaming,16,Windows,2.9,Intel Core i7,0,0,127.33567457123111,256,256,1256,Nvidia
Acer,Notebook,4,Windows,2.1,Intel Core i3,0,0,100.45466986113651,0,1000,0,Intel
Dell,Gaming,16,Windows,2.56,Intel Core i7,0,0,141.21199808219862,512,0,0,Nvidia
Dell,Gaming,8,Windows,2.62,Intel Core i7,0,0,141.21199808219862,0,0,0,Nvidia
Lenovo,Notebook,4,Windows,1.9,Intel Core i5,0,0,100.45466986113651,128,0,0,Intel
MSI,Gaming,16,Windows,2.8,Intel Core i7,0,0,127.33567457123111,256,256,1256,Nvidia
HP,Ultrabook,4,Windows,1.48,Intel Core i5,0,0,157.3505121487356,256,0,0,Intel
HP,Notebook,6,Windows,1.91,Intel Core i5,0,0,141.21199808219862,256,0,0,AMD
Lenovo,2 in 1 Convertible,4,Windows,1.74,Intel Core i3,1,1,157.3505121487356,256,0,0,Intel
Asus,2 in 1 Convertible,8,Windows,1.1,Intel Core i5,1,0,165.6321180513006,256,0,0,Intel
Dell,2 in 1 Convertible,8,Windows,1.56,Intel Core i7,1,0,141.21199808219862,256,0,0,Intel
Toshiba,Notebook,4,Windows,2.1,Intel Core i3,0,0,100.45466986113651,0,500,0,Intel
Asus,Notebook,4,Windows,2.03,AMD Processor,0,0,100.45466986113651,0,1000,0,AMD
Acer,Notebook,4,Windows,3.0,Intel Core i5,0,1,127.33567457123111,256,0,0,Nvidia
Dell,Notebook,8,Windows,2.13,Intel Core i5,0,0,141.21199808219862,256,0,0,AMD
Lenovo,Gaming,16,Windows,2.5,Intel Core i7,0,1,141.21199808219862,256,0,0,Nvidia
Acer,Notebook,4,Windows,2.1,Other Intel Processor,0,0,100.45466986113651,0,1000,0,Intel
MSI,Gaming,16,Windows,2.4,Intel Core i7,0,1,141.21199808219862,256,256,1256,Nvidia
Acer,Notebook,4,Windows,2.1,Other Intel Processor,0,0,100.45466986113651,0,1000,0,Intel
Dell,Gaming,8,Windows,2.56,Intel Core i7,0,0,141.21199808219862,128,128,1128,Nvidia
Acer,Notebook,8,Windows,3.0,Intel Core i5,0,1,127.33567457123111,256,0,0,Nvidia
HP,Notebook,4,Windows,1.49,Intel Core i5,0,1,165.6321180513006,0,500,0,Intel
Huawei,Ultrabook,8,Windows,1.05,Intel Core i5,0,1,199.69207064108247,256,0,0,Intel
HP,Notebook,6,Windows,2.71,Intel Core i5,0,1,127.33567457123111,0,2000,0,AMD
Lenovo,Notebook,4,Others,2.2,AMD Processor,0,0,100.45466986113651,0,500,0,AMD
Toshiba,Notebook,4,Windows,2.0,Intel Core i3,0,0,100.45466986113651,0,500,0,Intel
HP,Notebook,8,Windows,2.5,Intel Core i5,0,0,127.33567457123111,256,0,0,Nvidia
Dell,Notebook,8,Windows,2.3,Intel Core i3,0,0,100.45466986113651,0,1000,0,Intel
Acer,Notebook,4,Windows,2.1,Intel Core i3,0,0,100.45466986113651,128,0,0,Intel
MSI,Gaming,32,Windows,4.4,Intel Core i7,0,0,119.7232157653423,512,512,1512,Nvidia
Lenovo,Notebook,8,Windows,1.9,Intel Core i5,0,0,141.21199808219862,128,128,1128,AMD
HP,2 in 1 Convertible,8,Windows,1.29,Intel Core i5,1,1,331.2642361026012,256,0,0,Intel
Dell,Notebook,16,Others,2.02,Intel Core i7,0,0,141.21199808219862,256,256,2256,AMD
Dell,Ultrabook,8,Windows,1.23,Intel Core i5,0,0,165.6321180513006,256,0,0,Intel
Lenovo,2 in 1 Convertible,16,Windows,1.4,Intel Core i7,1,1,316.96506044349616,512,0,0,Intel
Toshiba,Notebook,8,Windows,2.0,Intel Core i5,0,0,100.45466986113651,128,0,0,Intel
Xiaomi,Notebook,8,Others,1.95,Intel Core i5,0,1,141.21199808219862,256,0,0,Nvidia
Dell,Notebook,16,Windows,2.77,Intel Core i7,1,0,127.33567457123111,512,0,0,Nvidia
Dell,Notebook,16,Windows,2.06,Intel Core i7,1,0,282.42399616439724,512,0,0,Nvidia
Lenovo,Gaming,8,Others,2.4,Intel Core i5,0,1,141.21199808219862,256,0,0,Nvidia
Acer,Ultrabook,8,Windows,1.12,Intel Core i5,0,1,165.6321180513006,256,0,0,Intel
Dell,Notebook,8,Windows,2.8,Intel Core i7,0,0,127.33567457123111,128,128,1128,AMD
Lenovo,2 in 1 Convertible,16,Windows,1.42,Intel Core i7,1,0,209.8006828649808,1000,0,0,Intel
Vero,Notebook,4,Windows,1.3,Other Intel Processor,0,1,157.3505121487356,0,0,0,Intel
Xiaomi,Ultrabook,8,Others,1.3,Intel Core i5,0,1,165.6321180513006,256,0,0,Nvidia
Lenovo,Notebook,8,Others,2.8,Intel Core i5,0,0,106.11306214269258,256,0,0,Nvidia
Dell,2 in 1 Convertible,8,Windows,1.62,Intel Core i7,1,1,165.6321180513006,0,1000,0,Intel
HP,Notebook,8,Windows,2.5,Intel Core i5,0,1,127.33567457123111,0,1000,0,Nvidia
Razer,Gaming,32,Windows,3.49,Intel Core i7,1,0,254.67134914246222,1000,0,0,Nvidia
HP,Notebook,8,Windows,1.49,Intel Core i5,0,0,165.6321180513006,512,0,0,Intel
HP,Gaming,16,Windows,3.35,Intel Core i7,0,1,127.33567457123111,256,256,1256,Nvidia
HP,Notebook,8,Windows,2.5,Intel Core i7,0,0,127.33567457123111,256,0,0,Nvidia
Dell,Gaming,16,Windows,2.65,Intel Core i7,0,1,282.42399616439724,512,512,1512,Nvidia
Lenovo,Notebook,4,Windows,2.1,Intel Core i5,0,0,100.45466986113651,128,0,0,Intel
Acer,Notebook,8,Windows,2.23,Intel Core i7,0,0,141.21199808219862,0,1000,0,Nvidia
Lenovo,Gaming,16,Windows,3.2,Intel Core i7,0,1,141.21199808219862,512,512,1512,Nvidia
Dell,Workstation,16,Windows,2.8,Other Intel Processor,0,0,282.42399616439724,256,256,1256,Nvidia
Lenovo,Gaming,16,Others,2.4,Intel Core i7,0,0,141.21199808219862,512,0,0,Nvidia
Dell,Notebook,6,Windows,2.3,Intel Core i3,1,0,100.45466986113651,0,1000,0,Intel
Dell,Ultrabook,8,Windows,1.21,Intel Core i7,1,1,331.2642361026012,256,0,0,Intel
Dell,Ultrabook,8,Windows,1.2,Intel Core i7,0,0,165.6321180513006,256,0,0,Intel
Lenovo,Notebook,8,Windows,2.2,Intel Core i5,0,0,100.45466986113651,256,0,0,Intel
Acer,Notebook,8,Others,2.4,Intel Core i7,0,0,141.21199808219862,0,1000,0,Nvidia
Asus,Gaming,16,Windows,2.9,Intel Core i7,0,0,127.33567457123111,256,256,1256,Nvidia
HP,Notebook,4,Others,2.1,Intel Core i3,0,0,141.21199808219862,0,500,0,Intel
Lenovo,Notebook,8,Others,2.2,Intel Core i5,0,0,141.21199808219862,256,0,0,Intel
Huawei,Ultrabook,8,Windows,1.05,Intel Core i7,0,1,199.69207064108247,512,0,0,Intel
Dell,Ultrabook,8,Windows,1.4,Intel Core i7,0,1,165.6321180513006,256,0,0,AMD
Lenovo,Notebook,8,Others,2.8,Intel Core i5,0,0,106.11306214269258,0,1000,0,Nvidia
HP,Notebook,8,Windows,1.63,Intel Core i7,0,0,157.3505121487356,256,0,0,Nvidia
Dell,Ultrabook,8,Windows,1.6,Intel Core i5,0,0,157.3505121487356,256,0,0,Intel
Dell,2 in 1 Convertible,16,Windows,1.62,Intel Core i7,1,0,165.6321180513006,512,0,0,Intel
Dell,Notebook,8,Others,2.2,Intel Core i5,0,0,141.21199808219862,256,0,0,AMD
Lenovo,2 in 1 Convertible,8,Windows,1.74,Intel Core i5,0,1,157.3505121487356,256,0,0,Intel
Toshiba,Ultrabook,8,Windows,1.2,Intel Core i7,0,0,165.6321180513006,256,0,0,Intel
HP,Notebook,8,Windows,2.1,Intel Core i5,0,0,141.21199808219862,0,1000,0,Intel
Dell,Gaming,16,Windows,4.42,Intel Core i7,0,1,127.33567457123111,256,256,1256,Nvidia
Acer,Notebook,8,Windows,2.2,Intel Core i7,0,0,141.21199808219862,256,0,0,Nvidia
Dell,Notebook,16,Windows,2.3,Intel Core i7,1,0,141.21199808219862,0,1000,0,AMD
Asus,Notebook,8,Windows,2.0,Intel Core i5,0,0,141.21199808219862,256,0,0,Nvidia
Asus,Notebook,8,Windows,2.69,Intel Core i5,0,0,127.33567457123111,256,256,756,Nvidia
HP,Notebook,8,Windows,1.9,Intel Core i7,0,0,141.21199808219862,0,1000,0,AMD
Asus,Notebook,4,Windows,2.37,Intel Core i3,0,0,100.45466986113651,0,1000,0,Intel
HP,Notebook,4,Windows,2.1,AMD Processor,0,0,100.45466986113651,0,500,0,AMD
Lenovo,Gaming,16,Windows,3.2,Intel Core i7,0,1,141.21199808219862,256,256,1256,Nvidia
Dell,Notebook,8,Windows,1.6,Intel Core i5,0,0,157.3505121487356,256,0,0,Intel
Acer,2 in 1 Convertible,8,Windows,1.6,Intel Core i5,1,1,165.6321180513006,256,0,0,Intel
Dell,Notebook,16,Others,2.36,Intel Core i7,0,0,141.21199808219862,256,0,0,AMD
Acer,Notebook,4,Others,2.1,Intel Core i3,0,0,100.45466986113651,0,1000,0,Intel
Asus,Notebook,4,Windows,2.2,AMD Processor,0,0,141.21199808219862,128,128,1128,AMD
Asus,Gaming,32,Windows,4.7,Intel Core i7,0,0,127.33567457123111,512,512,1512,Nvidia
Acer,Gaming,8,Windows,2.5,Intel Core i5,0,1,141.21199808219862,256,0,0,Nvidia
Lenovo,Notebook,8,Windows,2.2,Intel Core i3,0,0,100.45466986113651,128,0,0,Intel
Asus,Notebook,8,Windows,2.1,Intel Core i7,0,0,127.33567457123111,128,128,1128,Nvidia
Asus,Notebook,8,Others,2.69,Intel Core i7,0,0,127.33567457123111,128,128,1128,Nvidia
Dell,Gaming,8,Windows,2.56,Intel Core i5,0,0,141.21199808219862,256,0,0,Nvidia
Lenovo,2 in 1 Convertible,8,Windows,1.38,Intel Core i7,1,1,158.48253022174808,256,0,0,Intel
Dell,Notebook,8,Windows,2.2,Intel Core i7,0,0,141.21199808219862,128,128,2128,AMD
HP,Notebook,8,Windows,2.04,Intel Core i5,1,0,100.45466986113651,0,1000,0,Intel
Asus,Gaming,16,Windows,3.6,Intel Core i7,0,0,127.33567457123111,256,0,0,Nvidia
HP,Notebook,4,Windows,1.49,Intel Core i5,0,1,165.6321180513006,0,500,0,Intel
Apple,Ultrabook,8,Mac,1.37,Intel Core i5,0,1,226.98300468106115,512,0,0,Intel
Dell,2 in 1 Convertible,8,Windows,2.08,Intel Core i7,1,1,141.21199808219862,0,1000,0,Intel
Asus,Gaming,16,Windows,4.3,Intel Core i7,0,0,127.33567457123111,256,256,1256,Nvidia
Asus,Notebook,4,Windows,1.68,AMD Processor,0,0,100.45466986113651,0,1000,0,AMD
Lenovo,2 in 1 Convertible,8,Windows,1.37,Intel Core i7,1,1,158.48253022174808,512,0,0,Intel
Acer,Notebook,4,Windows,3.0,Intel Core i3,0,1,127.33567457123111,256,0,0,Nvidia
Dell,Ultrabook,8,Windows,1.41,Intel Core i5,0,0,165.6321180513006,256,0,0,Intel
HP,Notebook,8,Windows,1.91,AMD Processor,0,0,100.45466986113651,128,0,0,AMD
HP,Notebook,16,Windows,2.9,Intel Core i7,0,1,127.33567457123111,0,1000,0,Nvidia
MSI,Gaming,16,Windows,4.14,Intel Core i7,0,0,127.33567457123111,512,512,1512,Nvidia
Lenovo,2 in 1 Convertible,8,Windows,2.0,Intel Core i7,1,1,141.21199808219862,512,0,0,Nvidia
Dell,Notebook,8,Windows,2.8,Intel Core i7,0,0,127.33567457123111,128,128,1128,AMD
Lenovo,Notebook,4,Others,2.2,Intel Core i3,0,0,141.21199808219862,256,0,0,Intel
HP,Notebook,4,Windows,2.1,Intel Core i5,0,1,141.21199808219862,0,500,0,Intel
Dell,Notebook,4,Windows,2.18,Intel Core i5,0,0,141.21199808219862,0,1000,0,Intel
Dell,Notebook,8,Windows,2.24,Intel Core i5,0,0,141.21199808219862,0,1000,0,AMD
Dell,2 in 1 Convertible,8,Windows,2.67,Intel Core i5,1,0,141.21199808219862,256,0,0,Intel
Asus,2 in 1 Convertible,8,Windows,1.1,Intel Core i7,1,0,165.6321180513006,1024,0,0,Intel
Lenovo,Notebook,4,Others,2.2,Intel Core i5,0,0,141.21199808219862,0,1000,0,Intel
HP,Notebook,8,Windows,2.5,Intel Core i7,0,0,127.33567457123111,0,1000,0,Nvidia
Lenovo,Notebook,8,Windows,2.05,Intel Core i7,0,0,141.21199808219862,256,0,0,Intel
Apple,Ultrabook,8,Mac,1.37,Intel Core i5,0,1,226.98300468106115,512,0,0,Intel
Asus,Gaming,16,Windows,3.2,AMD Processor,0,0,127.33567457123111,256,256,1256,AMD
